Title,Year,Movie Duration,Rating,Poster,Plot Summary,Genres,Directors,Writers,Actors,Languages,Release Date,Release Country,Box Office,Production Companies
57. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,7.7,https://www.imdb.com/title/tt9603212/?ref_=sr_i_57,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,,,,,,,,,
58. The Goonies,1985,1h 54m,7.7,https://www.imdb.com/title/tt0089218/?ref_=sr_i_58,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,,,,,,,,,
59. Sicario,2015,2h 1m,7.7,https://www.imdb.com/title/tt3397884/?ref_=sr_i_59,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,,,,,,,,,
60. Harry Potter and the Goblet of Fire,2005,2h 37m,7.7,https://www.imdb.com/title/tt0330373/?ref_=sr_i_60,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",,,,,,,,,
61. Kingsman: The Secret Service,2014,2h 9m,7.7,https://www.imdb.com/title/tt2802144/?ref_=sr_i_61,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",,,,,,,,,
62. Blue Is the Warmest Colour,2013,3h,7.7,https://www.imdb.com/title/tt2278871/?ref_=sr_i_62,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",,,,,,,,,
63. Y tu mamá también,2001,1h 46m,7.7,https://www.imdb.com/title/tt0245574/?ref_=sr_i_63,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.",,,,,,,,,
64. Zodiac,2007,2h 37m,7.7,https://www.imdb.com/title/tt0443706/?ref_=sr_i_64,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",,,,,,,,,
65. The Count of Monte Cristo,2002,2h 11m,7.7,https://www.imdb.com/title/tt0245844/?ref_=sr_i_65,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",,,,,,,,,
66. Wind River,2017,1h 47m,7.7,https://www.imdb.com/title/tt5362988/?ref_=sr_i_66,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",,,,,,,,,
67. The Hangover,2009,1h 40m,7.7,https://www.imdb.com/title/tt1119646/?ref_=sr_i_67,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing. They must make their way around the city in order to find their friend in time for his wedding.,,,,,,,,,
68. Black Hawk Down,2001,2h 24m,7.7,https://www.imdb.com/title/tt0265086/?ref_=sr_i_68,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",,,,,,,,,
69. The Boy in the Striped Pyjamas,2008,1h 34m,7.7,https://www.imdb.com/title/tt0914798/?ref_=sr_i_69,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",,,,,,,,,
70. Home Alone,1990,1h 43m,7.7,https://www.imdb.com/title/tt0099785/?ref_=sr_i_70,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",,,,,,,,,
71. Airplane!,1980,1h 28m,7.7,https://www.imdb.com/title/tt0080339/?ref_=sr_i_71,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.",,,,,,,,,
72. Godzilla Minus One,2023,2h 4m,7.7,https://www.imdb.com/title/tt23289160/?ref_=sr_i_72,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",,,,,,,,,
73. A Few Good Men,1992,2h 18m,7.7,https://www.imdb.com/title/tt0104257/?ref_=sr_i_73,A military lawyer is tasked with defending two US Marines charged with murdering a fellow Marine and intends to prove they were only following their base commander's orders.,,,,,,,,,
74. 500 Days of Summer,2009,1h 35m,7.7,https://www.imdb.com/title/tt1022603/?ref_=sr_i_74,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",,,,,,,,,
75. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,7.7,https://www.imdb.com/title/tt0926084/?ref_=sr_i_75,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",,,,,,,,,
76. The French Connection,1971,1h 44m,7.7,https://www.imdb.com/title/tt0067116/?ref_=sr_i_76,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",,,,,,,,,
77. Ex Machina,2014,1h 48m,7.7,https://www.imdb.com/title/tt0470752/?ref_=sr_i_77,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,,,,,,,,,
78. Ocean's Eleven,2001,1h 56m,7.7,https://www.imdb.com/title/tt0240772/?ref_=sr_i_78,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event.",,,,,,,,,
79. Silver Linings Playbook,2012,2h 2m,7.7,https://www.imdb.com/title/tt1045658/?ref_=sr_i_79,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",,,,,,,,,
80. The Banshees of Inisherin,2022,1h 54m,7.7,https://www.imdb.com/title/tt11813216/?ref_=sr_i_80,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",,,,,,,,,
81. Mission: Impossible - Fallout,2018,2h 27m,7.7,https://www.imdb.com/title/tt4912910/?ref_=sr_i_81,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",,,,,,,,,
82. Captain America: The Winter Soldier,2014,2h 16m,7.7,https://www.imdb.com/title/tt1843866/?ref_=sr_i_82,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",,,,,,,,,
83. When Harry Met Sally,1989,1h 35m,7.7,https://www.imdb.com/title/tt0098635/?ref_=sr_i_83,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",,,,,,,,,
84. Tangled,2010,1h 40m,7.7,https://www.imdb.com/title/tt0398286/?ref_=sr_i_84,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",,,,,,,,,
85. Apollo 13,1995,2h 20m,7.7,https://www.imdb.com/title/tt0112384/?ref_=sr_i_85,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,,,,,,,,,
86. The Game,1997,2h 9m,7.7,https://www.imdb.com/title/tt0119174/?ref_=sr_i_86,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.",,,,,,,,,
